Visit#,Date,Season,Realms,Spirit,Last Visit
62nd,"May 26, 2022",Gratitude,Vault of Knowledge,Greeting Shaman(R),2nd Visit(48 ago)
61st,"May 12, 2022",Prophecy,Isle of Dawn,Prophet of Air,1st Visit
60th,"April 28, 2022",Assembly,Hidden Forest,Daydream Forester,1st Visit
59th,"April 14, 2022",Dreams,Valley of Triumph,Spinning Mentor,1st Visit
58th,"March 31, 2022",Enchantment,Golden Wasteland,Scarecrow Farmer,1st Visit
57th,"March 17, 2022",Gratitude,Daylight Prairie,Stretching Guru(R),2nd Visit(49 ago)
56th,"March 3, 2022",Rhythm,Isle of Dawn,Troupe Greeter(R),2nd Visit(31 ago)
55th,"February 17, 2022",Sanctuary,Daylight Prairie,Hiking Grouch,1st Visit
54th,"February 3, 2022",Prophecy,Isle of Dawn,Prophet of Earth*,1st Visit*
53rd,"January 20, 2022",Gratitude,Golden Wasteland,Saluting Protector*,1st Visit*
52nd,"January 6, 2022",Lightseekers,Valley of Triumph,Twirling Champion(R),2nd Visit(34 ago)
Error*,"January 6, 2022",Prophecy,Isle of Dawn,Prophet of Earth*,Error Spirit*
51st,"December 23, 2021",Belonging,Valley of Triumph,Sparkler Parent(R),3rd Visit(19 ago)
50th,"December 9, 2021",Prophecy,Isle of Dawn,Prophet of Fire,1st Visit
49th,"November 25, 2021",Sanctuary,Daylight Prairie,Jellyfish Whisperer,1st Visit
48th,"November 11, 2021",Belonging,Vault of Knowledge,Wise Grandparent(R),2nd Visit(33 ago)
47th,"October 28, 2021",Enchantment,Golden Wasteland,Playfighting Herbalist,1st Visit
46th,"October 14, 2021",Rhythm,Daylight Prairie,Festival Spin Dancer(R),2nd Visit(29 ago)
45th,"September 30, 2021",Sanctuary,Daylight Prairie,Grateful Shell Collector,1st Visit
44th,"September 16, 2021",Rhythm,Valley of Triumph,Troupe Juggler,1st Visit
43rd,"September 2, 2021",Lightseekers,Golden Wasteland,Crab Whisperer(R),2nd Visit(37 ago)
42nd,"August 19, 2021",Sanctuary,Daylight Prairie,Chill Sunbather,1st Visit
41st,"August 5, 2021",Prophecy,Isle of Dawn,Prophet of Water,1st Visit
40th,"July 22, 2021",Belonging,Isle of Dawn,Boogie Kid(R),2nd Visit(18 ago)
39th,"July 8, 2021",Gratitude,Isle of Dawn,Sassy Drifter(R),3rd Visit(29 ago)
38th,"June 24, 2021",Rhythm,Hidden Forest,Admiring Actor(R),2nd Visit(18 ago)
